feedback_id;q1;q2;q3;q4;q5;q6;q7;q8
35692340;Desktop;10;4;4;5;Yes, I want to buy something in the next few minutes;Allegro is the most convenient shop;1968
35691322;Desktop;0;1;1;1;No, I'm only browsing through available products;-;1962
35690952;Tablet;10;5;5;5;Yes, I want to select products that I will buy later;Allegro is the cheapest;1977
35690889;Desktop;6;5;4;3;Yes, I want to select products that I will buy later;Allegro is the most convenient shop,I have free delivery on Allegro,There is no shop in my neighborhood that offers the products that I can find on Allegro;1993
35690772;Mobile Phone;10;3;3;5;Yes, I want to select products that I will buy later;Allegro is the most convenient shop;1998
35689858;Desktop;10;3;4;5;No, I'm only browsing through available products;-;1980
35689230;Desktop;10;5;4;5;Yes, I want to select products that I will buy later;Allegro is the most convenient shop,I have free delivery on Allegro,Allegro is the cheapest,I have a guarantee of safe shopping on Allegro;1965
35689020;Mobile Phone;10;5;5;5;No, I'm only browsing through available products;-;1961
35688752;Desktop;10;2;4;4;Yes, I want to buy something in the next few minutes;I have a guarantee of safe shopping on Allegro,Allegro is the most convenient shop;1984
35688348;Desktop;8;4;4;5;Yes, I want to select products that I will buy later;Allegro is the cheapest;1938
35688347;Mobile Phone;4;2;3;4;No, I'm only browsing through available products;-;1995
35688219;Mobile Phone;10;5;5;5;Yes, I want to select products that I will buy later;There is no shop in my neighborhood that offers the products that I can find on Allegro;1998
35687731;Desktop;10;5;5;5;No, I'm only browsing through available products;-;1944
35687687;Desktop;9;4;4;4;No, I'm only browsing through available products;-;8 o3
35687462;Mobile Phone;6;3;4;1;No, I'm only browsing through available products;-;1989
35687376;Mobile Phone;10;3;5;4;Yes, I want to select products that I will buy later;Allegro is the most convenient shop;1989
35687012;Mobile Phone;10;5;5;5;No, I'm only browsing through available products;-;45
35684938;Desktop;9;3;4;5;Yes, I want to select products that I will buy later;Allegro is the most convenient shop,I have free delivery on Allegro;1975
35684006;Mobile Phone;10;5;5;5;Yes, I want to buy something in the next few minutes;I have a guarantee of safe shopping on Allegro,There is no shop in my neighborhood that offers the products that I can find on Allegro,Allegro is the cheapest,Allegro is the most convenient shop;1985
35683841;Tablet;7;3;3;4;No, I'm only browsing through available products;-;1968
35683688;Mobile Phone;10;5;5;5;No, I'm only browsing through available products;-;1979
35683492;Tablet;10;4;4;5;Yes, I want to select products that I will buy later;I have free delivery on Allegro,I have a guarantee of safe shopping on Allegro;1960
35682755;Mobile Phone;10;4;4;5;Yes, I want to select products that I will buy later;Allegro is the most convenient shop;1992
35682360;Desktop;10;3;3;4;Yes, I want to select products that I will buy later;I have free delivery on Allegro,Allegro is the most convenient shop;2001
35682084;Desktop;6;1;3;3;Yes, I want to buy something in the next few minutes;Allegro is the most convenient shop;1968
35682015;Desktop;0;1;1;3;Yes, I want to select products that I will buy later;There is no shop in my neighborhood that offers the products that I can find on Allegro;1977
35680399;Mobile Phone;10;4;3;3;Yes, I want to select products that I will buy later;There is no shop in my neighborhood that offers the products that I can find on Allegro,Allegro is the most convenient shop;1900
35680360;Desktop;10;4;4;5;Yes, I want to buy something in the next few minutes;There is no shop in my neighborhood that offers the products that I can find on Allegro;1976
35680300;Desktop;10;4;4;5;Yes, I want to buy something in the next few minutes;I have a guarantee of safe shopping on Allegro;1991
35679525;Mobile Phone;10;4;4;5;Yes, I want to buy something in the next few minutes;There is no shop in my neighborhood that offers the products that I can find on Allegro,I have a guarantee of safe shopping on Allegro,Allegro is the most convenient shop;1998
35677967;Desktop;10;5;5;5;Yes, I want to select products that I will buy later;Allegro is the cheapest,I have free delivery on Allegro,I have a guarantee of safe shopping on Allegro,There is no shop in my neighborhood that offers the products that I can find on Allegro,Allegro is the most convenient shop;1961
35677905;Desktop;9;5;4;3;Yes, I want to buy something in the next few minutes;I have free delivery on Allegro,Allegro is the cheapest,Allegro is the most convenient shop,I have a guarantee of safe shopping on Allegro,There is no shop in my neighborhood that offers the products that I can find on Allegro;1992
35677242;Mobile Phone;10;3;5;5;Yes, I want to buy something in the next few minutes;Allegro is the most convenient shop;1964
35677217;Desktop;2;1;1;5;No, I'm only browsing through available products;-;1959
35677169;Mobile Phone;10;5;5;5;Yes, I want to buy something in the next few minutes;I have a guarantee of safe shopping on Allegro;1988
35676844;Desktop;10;5;4;3;No, I'm only browsing through available products;-;1983
35676303;Desktop;10;5;4;5;Yes, I want to select products that I will buy later;I have a guarantee of safe shopping on Allegro,Allegro is the most convenient shop,There is no shop in my neighborhood that offers the products that I can find on Allegro;1958
35676048;Mobile Phone;10;5;5;5;Yes, I want to select products that I will buy later;Allegro is the most convenient shop;1982
35675789;Desktop;8;4;4;4;No, I'm only browsing through available products;-;1983
35674487;Mobile Phone;8;4;4;4;No, I'm only browsing through available products;-;2000
35673523;Mobile Phone;10;3;4;5;No, I'm only browsing through available products;-;1993
35672312;Desktop;9;2;2;2;No, I'm only browsing through available products;-;1968
35671727;Desktop;10;5;4;5;No, I'm only browsing through available products;-;1987
35671539;Desktop;10;5;5;5;Yes, I want to select products that I will buy later;I have a guarantee of safe shopping on Allegro,Allegro is the cheapest;1944
35671361;Desktop;8;5;5;5;Yes, I want to buy something in the next few minutes;I have free delivery on Allegro,Allegro is the most convenient shop,Allegro is the cheapest;1953
35671177;Desktop;9;4;4;4;Yes, I want to select products that I will buy later;Allegro is the most convenient shop,I have a guarantee of safe shopping on Allegro,I have free delivery on Allegro;1970
35670736;Mobile Phone;0;1;1;1;No, I'm only browsing through available products;-;2000
35670073;Desktop;10;4;4;5;Yes, I want to buy something in the next few minutes;There is no shop in my neighborhood that offers the products that I can find on Allegro;1986
35669649;Desktop;10;5;5;5;No, I'm only browsing through available products;-;1970
35669591;Desktop;8;3;3;4;Yes, I want to select products that I will buy later;Allegro is the most convenient shop,There is no shop in my neighborhood that offers the products that I can find on Allegro;1974
35669246;Desktop;10;5;5;5;No, I'm only browsing through available products;-;1981
35668788;Desktop;10;5;5;5;Yes, I want to select products that I will buy later;Allegro is the most convenient shop;1982
35668425;Desktop;5;3;3;1;No, I'm only browsing through available products;-;1980
35667842;Desktop;10;4;4;5;No, I'm only browsing through available products;-;1988
35667797;Desktop;10;5;5;5;Yes, I want to buy something in the next few minutes;Allegro is the most convenient shop,I have a guarantee of safe shopping on Allegro;1952
35665070;Desktop;10;2;2;4;No, I'm only browsing through available products;-;1983
35664994;Desktop;10;5;5;5;No, I'm only browsing through available products;-;1064
35664578;TV;6;5;5;5;No, I'm only browsing through available products;-;1950
35663947;Desktop;7;3;4;5;Yes, I want to buy something in the next few minutes;There is no shop in my neighborhood that offers the products that I can find on Allegro;6969
35663865;Desktop;8;4;2;4;Yes, I want to select products that I will buy later;There is no shop in my neighborhood that offers the products that I can find on Allegro,Allegro is the most convenient shop,I have a guarantee of safe shopping on Allegro;1970
35663267;Mobile Phone;6;3;3;3;No, I'm only browsing through available products;-;1983
35663032;Desktop;10;4;4;4;No, I'm only browsing through available products;-;1979
35662239;Desktop;10;4;4;5;Yes, I want to select products that I will buy later;Allegro is the most convenient shop,Allegro is the cheapest;1972
35661905;Desktop;10;3;4;4;Yes, I want to buy something in the next few minutes;I have a guarantee of safe shopping on Allegro,I have free delivery on Allegro,There is no shop in my neighborhood that offers the products that I can find on Allegro,Allegro is the most convenient shop;1977
35661523;Desktop;10;5;5;5;No, I'm only browsing through available products;-;1986
35660156;Mobile Phone;3;2;3;2;No, I'm only browsing through available products;-;1898
35659910;Mobile Phone;9;2;1;4;Yes, I want to select products that I will buy later;There is no shop in my neighborhood that offers the products that I can find on Allegro;1983
35659142;Desktop;10;3;4;5;Yes, I want to buy something in the next few minutes;There is no shop in my neighborhood that offers the products that I can find on Allegro,I have free delivery on Allegro,Allegro is the most convenient shop,I have a guarantee of safe shopping on Allegro;1985
35658666;Mobile Phone;8;4;3;4;No, I'm only browsing through available products;-;1990
35658659;Desktop;0;1;3;1;No, I'm only browsing through available products;-;1890
35658529;Mobile Phone;10;5;5;5;Yes, I want to select products that I will buy later;Allegro is the cheapest,Allegro is the most convenient shop,I have free delivery on Allegro,There is no shop in my neighborhood that offers the products that I can find on Allegro;1987
35658334;Desktop;10;3;3;4;Yes, I want to select products that I will buy later;I have free delivery on Allegro;1992
35657730;Desktop;5;2;1;3;No, I'm only browsing through available products;-;1985
35657728;Desktop;10;3;3;5;Yes, I want to select products that I will buy later;I have a guarantee of safe shopping on Allegro,There is no shop in my neighborhood that offers the products that I can find on Allegro,I have free delivery on Allegro,Allegro is the most convenient shop;1990
35657435;Mobile Phone;10;5;5;5;Yes, I want to select products that I will buy later;Allegro is the cheapest,I have free delivery on Allegro,I have a guarantee of safe shopping on Allegro,There is no shop in my neighborhood that offers the products that I can find on Allegro,Allegro is the most convenient shop;1985
35657274;Desktop;1;1;2;1;No, I'm only browsing through available products;-;1900
35656811;Desktop;8;4;4;4;Yes, I want to select products that I will buy later;I have free delivery on Allegro,Allegro is the most convenient shop;26
35655788;Mobile Phone;10;4;4;5;No, I'm only browsing through available products;-;1994
35655763;Tablet;10;3;3;5;Yes, I want to select products that I will buy later;Allegro is the most convenient shop;1971
35655386;Mobile Phone;6;3;4;3;No, I'm only browsing through available products;-;1983
35655321;Desktop;10;5;5;5;No, I'm only browsing through available products;-;1965
35654797;Desktop;8;5;3;5;Yes, I want to select products that I will buy later;Allegro is the cheapest;1958
35654729;Tablet;10;5;5;5;Yes, I want to select products that I will buy later;I have a guarantee of safe shopping on Allegro;1973
35654532;Desktop;10;4;5;5;No, I'm only browsing through available products;-;1982
35654318;Tablet;10;5;5;5;No, I'm only browsing through available products;-;1979
35654292;Mobile Phone;10;4;4;5;No, I'm only browsing through available products;-;1992
35653855;Mobile Phone;10;4;3;4;Yes, I want to select products that I will buy later;Allegro is the most convenient shop;2000
35653549;Desktop;7;4;3;3;Yes, I want to select products that I will buy later;Allegro is the most convenient shop;1999
35652596;Desktop;6;1;1;3;No, I'm only browsing through available products;-;100
35652336;Mobile Phone;0;1;1;1;No, I'm only browsing through available products;-;1900
35652118;Desktop;8;3;3;4;No, I'm only browsing through available products;-;36
35652005;Desktop;9;5;5;5;Yes, I want to buy something in the next few minutes;Allegro is the cheapest;1972
35651625;Desktop;5;3;2;1;No, I'm only browsing through available products;-;1621
35651254;Desktop;10;5;5;5;Yes, I want to buy something in the next few minutes;Allegro is the most convenient shop;1986
35651140;Tablet;8;3;2;2;Yes, I want to select products that I will buy later;Other reasons;1952
35649768;Mobile Phone;10;5;5;5;Yes, I want to select products that I will buy later;Allegro is the most convenient shop;1996
35649577;Desktop;10;5;5;5;No, I'm only browsing through available products;-;1956
35649493;Desktop;10;4;4;4;No, I'm only browsing through available products;-;1975
35649020;Desktop;0;2;3;2;Yes, I want to select products that I will buy later;I have free delivery on Allegro;1970
35648867;Mobile Phone;10;5;5;5;Yes, I want to select products that I will buy later;Allegro is the most convenient shop;41
35648259;Desktop;10;5;5;5;Yes, I want to select products that I will buy later;I have a guarantee of safe shopping on Allegro;1968
35647760;Desktop;10;4;3;4;Yes, I want to select products that I will buy later;I have a guarantee of safe shopping on Allegro;1955
35647709;Mobile Phone;10;5;5;5;Yes, I want to select products that I will buy later;There is no shop in my neighborhood that offers the products that I can find on Allegro;1954
35647569;Desktop;9;3;4;5;Yes, I want to select products that I will buy later;Allegro is the most convenient shop;1981
35647101;Desktop;10;5;5;5;Yes, I want to buy something in the next few minutes;Allegro is the most convenient shop;2808
35647054;Desktop;7;3;2;4;Yes, I want to buy something in the next few minutes;Allegro is the most convenient shop;1976
35646450;Mobile Phone;10;5;5;5;Yes, I want to select products that I will buy later;Allegro is the cheapest,There is no shop in my neighborhood that offers the products that I can find on Allegro,Allegro is the most convenient shop,I have a guarantee of safe shopping on Allegro;1990
35646177;Tablet;10;5;5;5;Yes, I want to select products that I will buy later;I have a guarantee of safe shopping on Allegro,Allegro is the most convenient shop,I have free delivery on Allegro,There is no shop in my neighborhood that offers the products that I can find on Allegro,Allegro is the cheapest;1984
35645979;Desktop;10;3;4;5;Yes, I want to select products that I will buy later;There is no shop in my neighborhood that offers the products that I can find on Allegro,Allegro is the cheapest,Allegro is the most convenient shop,I have free delivery on Allegro;2000
35645603;Desktop;4;1;4;3;No, I'm only browsing through available products;-;1980
35645196;Desktop;2;2;1;1;No, I'm only browsing through available products;-;1970
35645013;Desktop;10;4;4;4;No, I'm only browsing through available products;-;1977
35643821;Desktop;10;5;4;5;Yes, I want to buy something in the next few minutes;Allegro is the most convenient shop,I have a guarantee of safe shopping on Allegro,I have free delivery on Allegro,Allegro is the cheapest;1943
35643625;Mobile Phone;10;3;4;4;No, I'm only browsing through available products;-;1998
35643047;Mobile Phone;10;2;4;2;No, I'm only browsing through available products;-;1979
35642414;Desktop;9;2;4;5;No, I'm only browsing through available products;-;1966
35642044;Desktop;9;4;5;5;No, I'm only browsing through available products;-;1977
35641888;Desktop;10;4;3;5;Yes, I want to select products that I will buy later;I have a guarantee of safe shopping on Allegro,Allegro is the most convenient shop,I have free delivery on Allegro,There is no shop in my neighborhood that offers the products that I can find on Allegro;1978
35641530;Desktop;10;5;5;5;Yes, I want to select products that I will buy later;Allegro is the most convenient shop,There is no shop in my neighborhood that offers the products that I can find on Allegro,Other reasons;1952
35641245;Desktop;8;3;3;4;Yes, I want to buy something in the next few minutes;I have a guarantee of safe shopping on Allegro;1983
35640973;Mobile Phone;10;4;3;3;No, I'm only browsing through available products;-;1980
35640864;Mobile Phone;10;5;5;5;Yes, I want to select products that I will buy later;There is no shop in my neighborhood that offers the products that I can find on Allegro,I have free delivery on Allegro,Allegro is the cheapest,Allegro is the most convenient shop;1977
35640853;Desktop;5;3;4;3;Yes, I want to select products that I will buy later;There is no shop in my neighborhood that offers the products that I can find on Allegro;2000
35640439;Mobile Phone;1;4;3;5;Yes, I want to select products that I will buy later;Allegro is the most convenient shop,I have a guarantee of safe shopping on Allegro;2000
35640389;Desktop;10;5;5;5;Yes, I want to buy something in the next few minutes;Allegro is the most convenient shop;1999
35640297;Mobile Phone;10;4;5;4;No, I'm only browsing through available products;-;1995
35640294;Mobile Phone;9;2;4;4;Yes, I want to select products that I will buy later;I have a guarantee of safe shopping on Allegro,Allegro is the most convenient shop;1974
35639988;Mobile Phone;10;3;3;5;Yes, I want to select products that I will buy later;I have a guarantee of safe shopping on Allegro;1997
35638957;Mobile Phone;10;5;5;5;Yes, I want to select products that I will buy later;I have a guarantee of safe shopping on Allegro,I have free delivery on Allegro;1974
35638694;Tablet;7;3;4;3;Yes, I want to select products that I will buy later;There is no shop in my neighborhood that offers the products that I can find on Allegro;1965
35638318;Desktop;10;5;5;5;Yes, I want to select products that I will buy later;Allegro is the cheapest;1964
35637890;Desktop;10;5;4;5;Yes, I want to buy something in the next few minutes;I have a guarantee of safe shopping on Allegro;1972
35637037;Desktop;10;5;5;5;No, I'm only browsing through available products;-;1973
35636982;Desktop;10;5;5;5;No, I'm only browsing through available products;-;1000
35636342;Desktop;9;3;3;4;No, I'm only browsing through available products;-;82
35635528;Mobile Phone;10;5;3;4;No, I'm only browsing through available products;-;1998
35635253;Desktop;4;1;3;4;Yes, I want to select products that I will buy later;There is no shop in my neighborhood that offers the products that I can find on Allegro;97
35634870;Desktop;8;4;4;4;Yes, I want to select products that I will buy later;There is no shop in my neighborhood that offers the products that I can find on Allegro;1966
35634537;Desktop;10;3;3;4;No, I'm only browsing through available products;-;2001
35634390;Desktop;10;3;4;4;No, I'm only browsing through available products;-;4567
35634126;Mobile Phone;10;3;4;5;Yes, I want to select products that I will buy later;I have free delivery on Allegro,Allegro is the cheapest,Allegro is the most convenient shop,I have a guarantee of safe shopping on Allegro;2002
35633894;Mobile Phone;10;5;5;5;No, I'm only browsing through available products;-;1991
35633547;Desktop;9;4;3;4;No, I'm only browsing through available products;-;1966
35633386;Desktop;10;4;5;5;Yes, I want to select products that I will buy later;I have free delivery on Allegro,Other reasons;1977
35633049;Mobile Phone;10;5;5;3;Yes, I want to select products that I will buy later;Allegro is the cheapest,There is no shop in my neighborhood that offers the products that I can find on Allegro;1998
35632874;Mobile Phone;10;5;5;5;Yes, I want to select products that I will buy later;I have free delivery on Allegro,Allegro is the cheapest,Allegro is the most convenient shop,I have a guarantee of safe shopping on Allegro;1972
35632329;Desktop;7;3;4;4;No, I'm only browsing through available products;-;1977
35632162;Desktop;8;3;3;4;No, I'm only browsing through available products;-;1974
35632047;Mobile Phone;10;3;5;5;No, I'm only browsing through available products;-;1997
35631278;Mobile Phone;10;4;4;5;No, I'm only browsing through available products;-;1980
35630664;Desktop;10;4;5;5;No, I'm only browsing through available products;-;1993
35630134;Desktop;10;5;5;5;No, I'm only browsing through available products;-;1983
35629231;Desktop;1;1;2;2;No, I'm only browsing through available products;-;1987
35629221;Mobile Phone;10;4;4;5;No, I'm only browsing through available products;-;1999
35628861;Desktop;5;2;1;2;No, I'm only browsing through available products;-;1963
35627689;Mobile Phone;5;4;1;2;Yes, I want to select products that I will buy later;Other reasons;2000
35627249;Mobile Phone;8;3;5;5;Yes, I want to select products that I will buy later;Allegro is the most convenient shop;1987
35627151;Mobile Phone;10;5;5;5;Yes, I want to select products that I will buy later;Allegro is the most convenient shop,There is no shop in my neighborhood that offers the products that I can find on Allegro,I have free delivery on Allegro;1989
35627147;Mobile Phone;8;4;4;4;Yes, I want to select products that I will buy later;I have a guarantee of safe shopping on Allegro;1980
35627143;Tablet;10;5;5;5;No, I'm only browsing through available products;-;1957
35626585;Mobile Phone;10;5;5;5;Yes, I want to buy something in the next few minutes;Allegro is the cheapest;1986
35626315;Desktop;7;5;5;5;Yes, I want to select products that I will buy later;Allegro is the most convenient shop;1954
35626160;Mobile Phone;0;1;1;1;No, I'm only browsing through available products;-;1970
